,company,name,model
36,gskill,G.Skill F4-3200C16D-32GVK Desktop Ram Ripjaws V Series 32GB (16GBx2) DDR4 3200MHz Black,F4-3200C16D-32GVK 
37,gskill,G.SKILL F4-3200C16D-64GTZN Desktop Ram Trident Z Neo Series 64GB (32GBx2) DDR4 3200MHz RGB,F4-3200C16D-64GTZN 
38,gskill,G.Skill Trident Z Series 64GB (4x16GB) 3200MHz DDR4 Memory F4-3200C16Q-64GTZ,F4-3200C16Q-64GTZ
39,gskill,G.Skill F4-3200C16S-16GTZR Desktop Ram Trident Z RGB Series 16GB (16GBx1) DDR4 3200MHz,F4-3200C16S-16GTZR 
40,gskill,G.Skill F4-3200C16S-16GVK Desktop Ram Ripjaws V Series 16GB (16GBx1) DDR4 3200MHz Black,F4-3200C16S-16GVK 
41,gskill,G.Skill F4-3200C16S-32GVK Desktop Ram Ripjaws V Series 32GB (32GBx1) DDR4 3200MHz Black,F4-3200C16S-32GVK 
42,gskill,G.Skill F4-3200C16S-8GTZR Desktop Ram Trident Z RGB Series 8GB (8GBx1) DDR4 DRAM 3200MHz,F4-3200C16S-8GTZR 
43,gskill,G.Skill F4-3200C16S-8GVKB Desktop Ram Ripjaws V Series 8GB (8GBx1) DDR4 3200MHz Black,F4-3200C16S-8GVKB 
44,gskill,G.Skill F4-3200C22S-16GRS Laptop Ram Ripjaws Series 16GB (16GBx1) DDR4 3200MHz,F4-3200C22S-16GRS 
45,gskill,G.Skill F4-3200C22S-8GRS Laptop Ram Ripjaws Series 8GB (8GBx1) DDR4 3200MHz,F4-3200C22S-8GRS 
46,gskill,G.Skill TRIDENT Z ROYAL 16GB (8GBX2) DDR4 3600MHz RGB Memory (F4-3600C16D-16GTRSC),F4-3600C16D-16GTRSC
47,gskill,G.Skill Trident Z Neo Series 16GB (8GBx2) DDR4 3600MHz RGB RAM F4-3600C16D-16GTZN,F4-3600C16D-16GTZN
48,gskill,G.Skill F4-3600C16D-16GTZNC Desktop Ram Trident Z Neo Series 16GB (8GBx2) DDR4 3600MHz RGB,F4-3600C16D-16GTZNC 
49,gskill,G.SKILL TRIDENT Z 16GB (8GBX2) DDR4 3600MHZ RGB MEMORY (F4-3600C16D-16GTZRC),F4-3600C16D-16GTZRC
50,gskill,G.SKILL F4-3600C16D-32GTZNC Desktop Ram Trident Z Neo Series 32GB (16GBx2) DDR4 3600MHz RGB,F4-3600C16D-32GTZNC 
51,gskill,G.skill Trident Z RGB Series 32GB (2x16GB) 3600 MHz DDR4 Memory F4-3600C16D-32GTZRC,F4-3600C16D-32GTZRC
52,gskill,G.skill Ripjaws V Series 32GB (2x16GB) 3600 MHz DDR4 Memory F4-3600C16D-32GVKC,F4-3600C16D-32GVKC
53,gskill,G.Skill TZ Neo Series 64GB (2x32GB) 3600 MHz DDR4 Memory F4-3600C16D-64GTZN,F4-3600C16D-64GTZN
54,gskill,G.SKILL Trident Z Neo Series 32GB (4 x 8GB) DDR4 SDRAM 3600 F4-3600C16Q-32GTZNC,F4-3600C16Q-32GTZNC
55,gskill,G.skill Ripjaws V Series 64GB (4x16GB) 3600 MHz DDR4 Memory F4-3600C16Q-64GVKC,F4-3600C16Q-64GVKC
56,gskill,G.SKILL 16GB (8GBX2) DDR4 – 3600 MHZ TRIDENT Z RGB SERIES RAM (F4-3600C17D-16GTZR),F4-3600C17D-16GTZR
57,gskill,G.Skill F4-3600C18D-16GTZN Desktop Ram Trident Z Neo Series 16GB (8GBx2) DDR4 3600MHz RGB,F4-3600C18D-16GTZN 
58,gskill,G.skill Trident Z RGB Series 16GB (2x8GB) 3600 MHz DDR4 Memory F4-3600C18D-16GTZR,F4-3600C18D-16GTZR
59,gskill,G.Skill F4-3600C18D-16GTZRX Desktop Ram Trident Z RGB Series 16GB (8GBX2) DDR4 3600MHz (For AMD),F4-3600C18D-16GTZRX 
60,gskill,G.Skill F4-3600C18D-16GVK Desktop Ram Ripjaws V Series 16GB (8GBX2) DDR4 3600MHz Black,F4-3600C18D-16GVK 
61,gskill,G.Skill F4-3600C18D-32GTZN Desktop Ram Trident Z Neo Series 32GB (16GBx2) DDR4 3600MHz RGB,F4-3600C18D-32GTZN 
62,gskill,G.Skill F4-3600C18D-32GTZR Desktop Ram Trident Z RGB Series 32GB (16GBx2) DDR4 3600MHz,F4-3600C18D-32GTZR 
63,gskill,G.Skill F4-3600C18D-32GVK Desktop Ram Ripjaws V Series 32GB (16GBx2) DDR4 3600MHz Black,F4-3600C18D-32GVK 
64,gskill,G.SKILL F4-3600C18D-64GTZN Desktop Ram Trident Z Neo Series 64GB (32GBx2) DDR4 3600MHz RGB,F4-3600C18D-64GTZN 
65,gskill,G.SKILL F4-3600C18D-64GVK Desktop Ram Ripjaws V Series 64GB (32GBx2) DDR4 3600MHz Black,F4-3600C18D-64GVK 
66,gskill,G.SKILL Ripjaws V Series 128GB (4x32GB) DDR4 3600MHz Black Memory F4-3600C18Q-128GVK,F4-3600C18Q-128GVK
67,gskill,G.skill Ripjaws V Series 64GB (4x16GB) 3600 MHz DDR4 Memory F4-3600C18Q-64GVK,F4-3600C18Q-64GVK
68,gskill,G.SKILL Sniper X 16GB (2 x 8GB) DDR4 3600 Desktop Memory F4-3600C19D-16GSXKB,F4-3600C19D-16GSXKB
69,gskill,G.SKILL Sniper X Series 16GB (2x8GB) 3600MHz DDR4 Memory F4-3600C19D-16GSXWB,F4-3600C19D-16GSXWB
70,gskill,G.Skill F4-3600C19D-16GTZRB Desktop Ram Trident Z RGB Series 16GB (8GBx2) DDR4 3600MHz,F4-3600C19D-16GTZRB 
71,gskill,G.Skill F4-3600C19S-16GVRB Desktop Ram Ripjaws V Series 16GB (16GBx1) DDR4 3600MHz Red,F4-3600C19S-16GVRB 
72,gskill,G.Skill F4-3600C19S-8GVRB Desktop Ram Ripjaws V Series 8GB (8GBx1) DDR4 DRAM 3600MHz Red,F4-3600C19S-8GVRB 
73,gskill,G.Skill F4-4000C18D-16GTZRB Desktop Ram Trident Z RGB Series 16GB (8GBx2) DDR4 4000MHz,F4-4000C18D-16GTZRB 
74,gskill,G.Skill RIPJAWS V 16GB (8GBX2) DDR4 4000MHz Memory,
75,gskill,G.SKILL F4-4000C19D-32GTZR Desktop Ram Trident Z RGB Series 32GB (16GBx2) DDR4 4000MHz,F4-4000C19D-32GTZR 
76,gskill,G.Skill TRIDENT Z 16GB (8GBX2) DDR4 4133MHz RGB Memory (F4-4133C19D-16GTZKW),F4-4133C19D-16GTZKW
77,gskill,G.Skill F4-4266C19D-16GTZR Desktop Ram Trident Z RGB Series 16GB (8GBx2) DDR4 4266MHz,F4-4266C19D-16GTZR 
0,corcair,CORSAIR Desktop Dominator Platinum Series – 128GB (16GBx8) DDR4 3000MHz RAM (CMD128GX4M8B3000C16),CMD128GX4M8B3000C16
1,corcair,CORSAIR DOMINATOR PLATINUM 16GB (2X8GB) DDR4 DRAM 2666 MHZ C15 RAM (CMD16GX4M2A2666C15),CMD16GX4M2A2666C15
2,corcair,Corsair CMD16GX4M2B3000C15 Desktop Ram Dominator Platinum Series 16GB (8GBx2) DDR4 3000MHz,CMD16GX4M2B3000C15 
3,corcair,Corsair CMD16GX4M2B3200C16 Desktop Ram Dominator Platinum Series 16GB (8GBx2) DDR4 3200MHz,CMD16GX4M2B3200C16 
4,corcair,Corsair CMD16GX4M2B3600C18 Desktop Ram Dominator Platinum Series 16GB (8GBx2) DDR4 3600MHz,CMD16GX4M2B3600C18 
5,corcair,Corsair CMD32GX4M2B3000C15 Desktop Ram Dominator Platinum Series 32GB (16GBx2) DDR4 3000MHz,CMD32GX4M2B3000C15 
6,corcair,Corsair CMD32GX4M2C3200C16 Desktop Ram Dominator Platinum Series 32GB (16GBx2) DDR4 3200MHz,CMD32GX4M2C3200C16 
7,corcair,CORSAIR Desktop Dominator Platinum Series – 32GB (8GBx4) DDR4 3000MHz RAM (CMD32GX4M4C3000C15),CMD32GX4M4C3000C15
8,corcair,CORSAIR Desktop Dominator Platinum Series – 64GB (16GBx4) DDR4 3000MHz RAM (CMD64GX4M4C3000C15),CMD64GX4M4C3000C15
9,corcair,CORSAIR CMK128GX4M4D3600C18 Desktop Ram VENGEANCE LPX Series 128GB (32GBx4) DDR4 3600MHz Black,CMK128GX4M4D3600C18 
10,corcair,Corsair Vengeance LPX Black 128GB (4x32GB) 3200MHz DDR4 Quad Channel Memory Kit CMK128GX4M4E3200C16,CMK128GX4M4E3200C16
11,corcair,CORSAIR Desktop Vengeance LPX Series – 16GB (16GBx1) DDR4 2400MHz RAM (CMK16GX4M1A2400C16),CMK16GX4M1A2400C16
12,corcair,Corsair CMK16GX4M1D3000C16 Desktop Ram Vengeance Lpx Series - 16GB (16GBx1) DDR4 3000MHz Black,CMK16GX4M1D3000C16 
13,corcair,Corsair CMK16GX4M1E3200C16 Desktop Ram Vengeance Lpx Series 16GB (16GBx1) DDR4 3200MHz,CMK16GX4M1E3200C16 
14,corcair,CORSAIR Vengeance LPX 16GB DDR4 3600MHz Memory CMK16GX4M1Z3600C18,CMK16GX4M1Z3600C18
15,corcair,CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 DRAM 3600MHz C18 Memory Kit – Black,
16,corcair,Corsair VENGEANCE® LPX 16GB (8GBX2) DDR4 DRAM 4000MHz C19 Memory Kit - Black,
17,corcair,Corsair Vengeance LPX 32GB (32GBx1) DDR4 3000MHz (CMK32GX4M1D3000C16),CMK32GX4M1D3000C16
18,corcair,CORSAIR VENGEANCE LPX 32GB(16GBX2) DDR4 DRAM 3600MHZ C18 RAM (BLACK),
19,corcair,CORSAIR Desktop Vengeance LPX Series – 4GB (4GBx1) DDR4 2400MHz Red RAM (CMK4GX4M1A2400C16R),CMK4GX4M1A2400C16R
20,corcair,CORSAIR Desktop Vengeance LPX Series – 4GB (4GBx1) DDR4 2400MHz Black RAM (CMK4GX4M1D2400C16),CMK4GX4M1D2400C16
21,corcair,CORSAIR CMK64GX4M2D3600C18 Desktop Ram VENGEANCE LPX Series 64GB (32GBx2) DDR4 3600MHz Black,CMK64GX4M2D3600C18 
22,corcair,CORSAIR Vengeance LPX 64GB (2 x 32GB) DDR4 3200MHz Memory CMK64GX4M2E3200C16,CMK64GX4M2E3200C16
23,corcair,CORSAIR CMK64GX4M4B3600C18 Desktop Ram VENGEANCE LPX Series 64GB (16GBx4) DDR4 3600MHz Black,CMK64GX4M4B3600C18 
24,corcair,CORSAIR CMK64GX4M4C3200C16 Desktop Ram VENGEANCE LPX Series 64GB (16GBx4) DDR4 3200MHz Black,CMK64GX4M4C3200C16 
25,corcair,CORSAIR CMK64GX4M4D3000C16 Desktop Ram VENGEANCE LPX Series 64GB (16GBx4) DDR4 3000MHz Black,CMK64GX4M4D3000C16 
26,corcair,CORSAIR CMK64GX4M4E3200C16 Desktop Ram VENGEANCE LPX Series 64GB (16GBx4) DDR4 3200MHz Black,CMK64GX4M4E3200C16 
27,corcair,CORSAIR VENGEANCE LPX 8GB (1X8GB) DDR4 DRAM 2400MHZ C16 BLACK RAM (CMK8GX4M1A2400C16),CMK8GX4M1A2400C16
28,corcair,CORSAIR Desktop Vengeance LPX Series – 8GB (8GBx1) DDR4 2400MHz Red RAM (CMK8GX4M1A2400C16R),CMK8GX4M1A2400C16R
29,corcair,Corsair CMK8GX4M1D3000C16 Desktop Ram Vengeance Lpx Series 8GB (8GBx1) DDR4 3000MHz Black,CMK8GX4M1D3000C16 
30,corcair,Corsair CMK8GX4M1E3200C16 Desktop Ram Vengeance Lpx Series 8GB (8GBx1) DDR4 3200MHz,CMK8GX4M1E3200C16 
31,corcair,Corsair CMK8GX4M1Z3600C18 Desktop RAM Vengeance LPX Series 8GB (8GBx1) DDR4 3600MHz Black,CMK8GX4M1Z3600C18 
32,corcair,Corsair VENGEANCE® RGB 16GB (8GBX2) DDR4 DRAM 3000MHz C16 Memory Kit - White,
33,corcair,Corsair CMT16GX4M2C3000C15 Desktop Ram DOMINATOR PLATINUM RGB Series 16GB (8GBx2) DDR4 3000MHz,CMT16GX4M2C3000C15 
34,corcair,CORSAIR DOMINATOR PLATINUM RGB 16GB (8GBx2) DDR4 3200MHz DESKTOP RAM (CMT16GX4M2C3200C16),CMT16GX4M2C3200C16
35,corcair,Corsair CMT32GX4M2C3000C15 Desktop Ram DOMINATOR PLATINUM RGB Series 32GB (16GBx2) DDR4 3000MHz,CMT32GX4M2C3000C15 
36,corcair,CORSAIR DOMINATOR PLATINUM RGB 32GB (16 GB X 2) DDR4 DRAM 3200MHZ C16 RAM (CMT32GX4M2C3200C16),CMT32GX4M2C3200C16
37,corcair,CORSAIR Desktop Value Series – 4GB (4GBx1) DDR3 1600MHz RAM (CMV4GX3M1A1600C11),CMV4GX3M1A1600C11
38,corcair,CORSAIR Desktop Value Series – 4GB (4GBx1) DDR3L 1600MHz RAM (CMV4GX3M1C1600C11),CMV4GX3M1C1600C11
39,corcair,CORSAIR Desktop Value Series 8gb (8GBx1) DDR3 1600MHz RAM (CMV8GX3M1A1600C11),CMV8GX3M1A1600C11
40,corcair,Corsair CMW16GX4M1D3000C16 Desktop Ram Vengeance RGB Pro Series - 16GB (16GBx1) DDR4 3000MHz,CMW16GX4M1D3000C16 
41,corcair,Corsair CMW16GX4M1Z3200C16 Desktop Ram Vengeance RGB Pro Series - 16GB (16GBx1) DDR4 3200MHz,CMW16GX4M1Z3200C16 
42,corcair,CORSAIR Desktop Vengeance RGB Pro Series – 16GB (8GBx2) DDR4 3000MHz RAM (CMW16GX4M2C3000C15),CMW16GX4M2C3000C15
43,corcair,CORSAIR 16GB (8GBX2) DDR4 – 3000 MHZ C16 VENGEANCE RGB SERIES RAM (CMW16GX4M2C3000C15W),CMW16GX4M2C3000C15W
44,corcair,CORSAIR Desktop Vengeance RGB Pro Series – 16GB (8GBx2) DDR4 3200MHz RAM (CMW16GX4M2C3200C16),CMW16GX4M2C3200C16
45,corcair,CORSAIR Desktop Vengeance RGB Pro Series – 16GB (8GBx2) DDR4 3200MHz RAM White (CMW16GX4M2C3200C16W),CMW16GX4M2C3200C16W
46,corcair,Corsair VENGEANCE® RGB PRO 16GB (8GBX2) DDR4 DRAM 3600MHz C18 Memory - Black,
47,corcair,Corsair VENGEANCE® RGB PRO 16GB (8GBX2) DDR4 DRAM 3600MHz C18 Memory Kit - White,
48,corcair,Corsair VENGEANCE® RGB PRO 16GB (8GBX2) DDR4 DRAM 3600MHz C18 Memory - White,
