,company,name,model
30,adata,ADATA XPG Spectrix D41 RGB 8GB 3200MHz PC4-24000 DDR4 Desktop U-DIMM Black Memory AX4U320038G16A-ST41,AX4U320038G16A-ST41
31,adata,ADATA XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3200MHz RGB,
32,adata,ADATA XPG SPECTRIX D60G 8GB (8GBx1) DDR4 RGB 3200MHZ (AX4U320038G16A-ST60) RAM,AX4U320038G16A-ST60
33,adata,Adata AX4U320038G16-DB41 Desktop Ram XPG Spectrix D41 x TUF Gaming Series 16GB (8GBX2) DDR4 3200MHz RGB,AX4U320038G16-DB41 
34,adata,Adata AX4U320038G16-DB80 Desktop Ram XPG Spectrix D80 Series 16GB (8GBX2) DDR4 3200MHz RGB Hybrid Liquid Air Cooling,AX4U320038G16-DB80 
35,adata,ADATA XPG SPECTRIX D60G DDR4 16GB (8GBx2) DDR4 RGB 3200MHZ RAM (AX4U320038G16-DT60),AX4U320038G16-DT60
36,adata,ADATA XPG Gammix D30 Series 8GB (8GBX1) DDR4 3200MHz Memory AX4U320038G16-SR30,AX4U320038G16-SR30
37,adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3200MHZ RAM (AX4U320038G16-SR41),AX4U320038G16-SR41
38,adata,ADATA AX4U3200716G16A-SR30 Desktop Ram XPG GAMMIX D30 Series 16GB (16GBx1) DDR4 3200MHz Red,AX4U3200716G16A-SR30 
39,adata,ADATA AX4U3200716G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 16GB (16GBx1) DDR4 3200MHz RGB,AX4U3200716G16A-ST50 
40,adata,ADATA AX4U3200732G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 32GB (32GBx1) DDR4 3200MHz RGB,AX4U3200732G16A-ST50 
41,adata,ADATA AX4U3600316G18A-ST50 Desktop Ram XPG SPECTRIX D50 Series 16GB (16GBx1) DDR4 3600MHz RGB,AX4U3600316G18A-ST50 
42,adata,ADATA XPG SPECTRIX D60G 16GB (16GBX1) DDR4 3600MHZ RGB RAM,AX4U3600316G18A-ST60
43,adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3600MHZ RAM (AX4U360038G17-SR41),AX4U360038G17-SR41
44,adata,ADATA XPG SPECTRIX D60G 16GB (8GBX2) DDR4 RGB 3600MHZ RAM (AX4U360038G18A-DT60),AX4U360038G18A-DT60
45,adata,Adata AX4U360038G18A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3600MHz Red,AX4U360038G18A-SR30 
46,adata,ADATA AX4U360038G18A-ST50 Desktop Ram XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3600MHz RGB,AX4U360038G18A-ST50 
47,adata,ADATA AX4U360038G18A-ST60 Desktop Ram XPG SPECTRIX D60G Series 8GB (8GBx1) DDR4 3600MHz RGB,AX4U360038G18A-ST60 
48,adata,Adata XPG Spectrix D41 16GB (8GBx2) 4133Mhz RGB Memory AX4U413338G19-DR41 (Red),AX4U413338G19-DR41 
