,company,name,model,Size,Frequency
147,crucial,Crucial 8GB DDR4 2400MHZ SODIMM Laptop Memory CB8GS2400,CB8GS2400,8GB ,2400MHZ 
148,crucial,Crucial Basics 8GB DDR4 2400MHZ UDIMM Desktop Memory CB8GU2400,CB8GU2400,8GB ,2400MHZ 
149,crucial,Crucial 4GB DDR4 2400 MHz UDIMM RAM CT4G4DFS824A,CT4G4DFS824A,4GB ,2400 MHz 
150,adata,Adata AD4U2400J4G17-R Desktop Ram Premier Series 4GB (4GBx1) DDR4 2400MHz,AD4U2400J4G17-R ,4GB ,2400MHz
151,adata,ADATA XPG Flame Series 8GB (8GBx1) DDR4 2666MHz Laptop Memory AX4S266638G18-SBF,AX4S266638G18-SBF,8GB ,2666MHz 
152,adata,Adata AX4U3000316G16A-DT60 Desktop Ram XPG Spectrix D60G Series 32GB (16GBX2) DDR4 3000MHz RGB,AX4U3000316G16A-DT60 ,32GB ,3000MHz 
153,adata,Adata AX4U3000316G16A-SR30 Desktop Ram XPG Gammix D30 Series 16GB (16GBX1) DDR4 3000MHz Red,AX4U3000316G16A-SR30 ,16GB ,3000MHz 
154,adata,Adata AX4U3000316G16A-ST60 Desktop Ram XPG Spectrix D60G Series 16GB (16GBx1) DDR4 3000MHz RGB,AX4U3000316G16A-ST60 ,16GB ,3000MHz 
155,adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3000MHZ RAM (AX4U3000316G16-SR41),AX4U3000316G16-SR41,16GB ,3000MHZ 
156,adata,ADATA XPG SPECTRIX D50 Series 16GB (8GBx2) DDR4 3000MHz RGB,,16GB ,3000MHz 
157,adata,Adata AX4U300038G16A-DT60 Desktop Ram XPG Spectrix D60G Series 16GB (8GBX2) DDR4 3000MHz RGB,AX4U300038G16A-DT60 ,16GB ,3000MHz 
158,adata,ADATA XPG SPECTRIX D60G 16GB (8GBX2) RGB DDR4 3000MHz,AX4U300038G16A-DW60,16GB ,3000MHz
159,adata,Adata AX4U300038G16A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3000MHz Red,AX4U300038G16A-SR30 ,8GB ,3000MHz 
160,adata,Adata AX4U300038G16A-ST41 Desktop Ram XPG Spectrix D41 Series 8GB (8GBX1) DDR4 3000MHz RGB,AX4U300038G16A-ST41 ,8GB ,3000MHz 
161,adata,ADATA XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3000MHz RGB,,8GB ,3000MHz 
162,adata,ADATA AX4U300038G16A-ST60 Desktop Ram XPG SPECTRIX D60G Series 8GB (8GBx1) DDR4 3000MHz RGB,AX4U300038G16A-ST60 ,8GB ,3000MHz 
163,adata,ADATA XPG SPECTRIX D80 16GB (8GBX2) DDR4 3000MHZ RGB  LIQUID COOLING BLACK EDITION RAM (AX4U300038G16-DB80),AX4U300038G16-DB80,16GB ,3000MHZ 
164,adata,ADATA XPG SPECTRIX D80 8GB (8GBX1) DDR4 3000MHZ RGB LIQUID COOLING BLACK EDITION RAM (AX4U300038G16-SB80),AX4U300038G16-SB80,8GB ,3000MHZ 
165,adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3000MHZ RAM (AX4U300038G16-SR41),AX4U300038G16-SR41,8GB ,3000MHZ 
166,adata,ADATA AX4U3000716G16A-DT50 Desktop Ram XPG SPECTRIX D50 Series 32GB (16GBx2) DDR4 3000MHz RGB,AX4U3000716G16A-DT50 ,32GB ,3000MHz 
167,adata,Adata AX4U3000716G16A-SR10 Desktop Ram XPG GAMMIX D10 Series 16GB (16GBx1) DDR4 3000MHz Red,AX4U3000716G16A-SR10 ,16GB ,3000MHz 
168,adata,ADATA AX4U3000716G16A-SR30 Desktop Ram XPG Gammix D30 Series 16GB (16GBx1) DDR4 3000MHz Red,AX4U3000716G16A-SR30 ,16GB ,3000MHz 
169,adata,ADATA XPG SPECTRIX D50 16GB (16GBX1) DDR4 RGB 3000MHz,,16GB ,3000MHz
170,adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3200MHZ,,16GB ,3200MHZ
171,adata,Adata AX4U3200316G16A-ST60 Desktop Ram XPG Spectrix D60G Series 16GB (16GBx1) DDR4 3200MHz RGB,AX4U3200316G16A-ST60 ,16GB ,3200MHz 
172,adata,ADATA AX4U3200316G16-DB30 Desktop Ram XPG GAMMIX D30 Series 32GB (16GBx2) DDR4 3200MHz Black,AX4U3200316G16-DB30 ,32GB ,3200MHz 
173,adata,ADATA XPG GAMMIX D30 16GB (16GBX1) DDR4 3200MHZ RAM (AX4U3200316G16-SR30),AX4U3200316G16-SR30,16GB ,3200MHZ 
174,adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3200MHZ RAM (AX4U3200316G16-SR41),AX4U3200316G16-SR41,16GB ,3200MHZ 
175,adata,ADATA AX4U320038G16A-DB80 Desktop Ram XPG SPECTRIX D80 Series 16GB (8GBx2) DDR4 3200MHz RGB Hybrid Liquid Air Cooling,AX4U320038G16A-DB80 ,16GB ,3200MHz 
176,adata,ADATA AX4U320038G16A-DR30 Desktop Ram XPG GAMMIX D30 Series 16GB (8GBx2) DDR4 3200MHz Red,AX4U320038G16A-DR30 ,16GB ,3200MHz 
177,adata,Adata XPG Spectrix D60G 16GB (8GB x 2) 3200MHz DDR4 RGB White Memory AX4U320038G16A-DW60,AX4U320038G16A-DW60,16GB ,3200MHz 
178,adata,Adata AX4U320038G16A-SR10 Desktop Ram XPG GAMMIX D10 Series 8GB (8GBx1) DDR4 3200MHz Red,AX4U320038G16A-SR10 ,8GB ,3200MHz 
179,adata,Adata AX4U320038G16A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3200MHz Red,AX4U320038G16A-SR30 ,8GB ,3200MHz 
180,adata,ADATA XPG Spectrix D41 RGB 8GB 3200MHz PC4-24000 DDR4 Desktop U-DIMM Black Memory AX4U320038G16A-ST41,AX4U320038G16A-ST41,8GB ,3200MHz 
181,adata,ADATA XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3200MHz RGB,,8GB ,3200MHz 
182,adata,ADATA XPG SPECTRIX D60G 8GB (8GBx1) DDR4 RGB 3200MHZ (AX4U320038G16A-ST60) RAM,AX4U320038G16A-ST60,8GB ,3200MHZ 
183,adata,Adata AX4U320038G16-DB41 Desktop Ram XPG Spectrix D41 x TUF Gaming Series 16GB (8GBX2) DDR4 3200MHz RGB,AX4U320038G16-DB41 ,16GB ,3200MHz 
184,adata,Adata AX4U320038G16-DB80 Desktop Ram XPG Spectrix D80 Series 16GB (8GBX2) DDR4 3200MHz RGB Hybrid Liquid Air Cooling,AX4U320038G16-DB80 ,16GB ,3200MHz 
185,adata,ADATA XPG SPECTRIX D60G DDR4 16GB (8GBx2) DDR4 RGB 3200MHZ RAM (AX4U320038G16-DT60),AX4U320038G16-DT60,16GB ,3200MHZ 
186,adata,ADATA XPG Gammix D30 Series 8GB (8GBX1) DDR4 3200MHz Memory AX4U320038G16-SR30,AX4U320038G16-SR30,8GB ,3200MHz 
187,adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3200MHZ RAM (AX4U320038G16-SR41),AX4U320038G16-SR41,8GB ,3200MHZ 
188,adata,ADATA AX4U3200716G16A-SR30 Desktop Ram XPG GAMMIX D30 Series 16GB (16GBx1) DDR4 3200MHz Red,AX4U3200716G16A-SR30 ,16GB ,3200MHz 
189,adata,ADATA AX4U3200716G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 16GB (16GBx1) DDR4 3200MHz RGB,AX4U3200716G16A-ST50 ,16GB ,3200MHz 
190,adata,ADATA AX4U3200732G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 32GB (32GBx1) DDR4 3200MHz RGB,AX4U3200732G16A-ST50 ,32GB ,3200MHz 
191,adata,ADATA AX4U3600316G18A-ST50 Desktop Ram XPG SPECTRIX D50 Series 16GB (16GBx1) DDR4 3600MHz RGB,AX4U3600316G18A-ST50 ,16GB ,3600MHz 
192,adata,ADATA XPG SPECTRIX D60G 16GB (16GBX1) DDR4 3600MHZ RGB RAM,AX4U3600316G18A-ST60,16GB ,3600MHZ 
193,adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3600MHZ RAM (AX4U360038G17-SR41),AX4U360038G17-SR41,8GB ,3600MHZ 
194,adata,ADATA XPG SPECTRIX D60G 16GB (8GBX2) DDR4 RGB 3600MHZ RAM (AX4U360038G18A-DT60),AX4U360038G18A-DT60,16GB ,3600MHZ 
195,adata,Adata AX4U360038G18A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3600MHz Red,AX4U360038G18A-SR30 ,8GB ,3600MHz 
196,adata,ADATA AX4U360038G18A-ST50 Desktop Ram XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3600MHz RGB,AX4U360038G18A-ST50 ,8GB ,3600MHz 
197,adata,ADATA AX4U360038G18A-ST60 Desktop Ram XPG SPECTRIX D60G Series 8GB (8GBx1) DDR4 3600MHz RGB,AX4U360038G18A-ST60 ,8GB ,3600MHz 
198,adata,Adata XPG Spectrix D41 16GB (8GBx2) 4133Mhz RGB Memory AX4U413338G19-DR41 (Red),AX4U413338G19-DR41 ,16GB ,4133Mhz 
