company,name,model,size,freq
Adata,ADATA XPG SPECTRIX D60G DDR4 16GB (8GBx2) DDR4 RGB 3200MHZ RAM (AX4U320038G16-DT60),AX4U320038G16-DT60,16GB ,3200MHZ 
Adata,ADATA XPG Gammix D30 Series 8GB (8GBX1) DDR4 3200MHz Memory AX4U320038G16-SR30,AX4U320038G16-SR30,8GB ,3200MHz 
Adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3200MHZ RAM (AX4U320038G16-SR41),AX4U320038G16-SR41,8GB ,3200MHZ 
Adata,ADATA AX4U3200716G16A-SR30 Desktop Ram XPG GAMMIX D30 Series 16GB (16GBx1) DDR4 3200MHz Red,AX4U3200716G16A-SR30 ,16GB ,3200MHz 
Adata,ADATA AX4U3200716G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 16GB (16GBx1) DDR4 3200MHz RGB,AX4U3200716G16A-ST50 ,16GB ,3200MHz 
Adata,ADATA AX4U3200732G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 32GB (32GBx1) DDR4 3200MHz RGB,AX4U3200732G16A-ST50 ,32GB ,3200MHz 
Adata,ADATA AX4U3600316G18A-ST50 Desktop Ram XPG SPECTRIX D50 Series 16GB (16GBx1) DDR4 3600MHz RGB,AX4U3600316G18A-ST50 ,16GB ,3600MHz 
Adata,ADATA XPG SPECTRIX D60G 16GB (16GBX1) DDR4 3600MHZ RGB RAM,AX4U3600316G18A-ST60,16GB ,3600MHZ 
Adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3600MHZ RAM (AX4U360038G17-SR41),AX4U360038G17-SR41,8GB ,3600MHZ 
Adata,ADATA XPG SPECTRIX D60G 16GB (8GBX2) DDR4 RGB 3600MHZ RAM (AX4U360038G18A-DT60),AX4U360038G18A-DT60,16GB ,3600MHZ 
Adata,Adata AX4U360038G18A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3600MHz Red,AX4U360038G18A-SR30 ,8GB ,3600MHz 
Adata,ADATA AX4U360038G18A-ST50 Desktop Ram XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3600MHz RGB,AX4U360038G18A-ST50 ,8GB ,3600MHz 
Adata,ADATA AX4U360038G18A-ST60 Desktop Ram XPG SPECTRIX D60G Series 8GB (8GBx1) DDR4 3600MHz RGB,AX4U360038G18A-ST60 ,8GB ,3600MHz 
