company,name,model
Samsung,"Samsung LC24RG50FQWXXL 24 Inch Curved Gaming Monitor (1800R Curved, AMD FreeSync, 4ms Response Time, 144Hz Refresh Rate, FHD VA Panel, DisplayPort, HDMI)",LC24RG50FQWXXL
Samsung,SAMSUNG LC27F390FHWXXL 27 CURVED WITH 1800R FUll HD LED GAMING MONITOR,LC27F390FHWXXL
Samsung,SAMSUNG LC27FG73FQWXXL 27 INCH CURVED WITH 1800R FUll HD LED MONITOR,LC27FG73FQWXXL
Samsung,"Samsung Odyssey G5 LC27G55TQWWXXL - 27 Inch Curved Gaming Monitor (1000R Curved, AMD FreeSync, 1ms Response Time, 144Hz Refresh Rate, Flicker Free, WQHD VA Panel, HDMI, Display Port)",LC27G55TQWWXXL
Samsung,"Samsung LC27JG54QQWXXL - 27 Inch Curved Gaming Monitor (1800R Curved, AMD FreeSync, 4ms Response Time, 144Hz Refresh Rate, WQHD VA Panel, HDMI, Display Port)",LC27JG54QQWXXL
Samsung,"Samsung LC27RG50FQWXXL - 27 Inch Curved Gaming Monitor (1500R Curved, Nvidia G-Sync, 4ms Response Time, 240Hz Refresh Rate, FHD VA Panel, HDMI, Display Port)",LC27RG50FQWXXL
Samsung,Samsung LC27T550 27 FHD Curved Monitor,LC27T550
Samsung,"Samsung LC27T550FDWXXL - 27 Inch Curved Gaming Monitor (1000R Curved, AMD FreeSync, 4ms Response Time, Flicker Free, FHD VA Panel, HDMI, Display Port, Speakers)",LC27T550FDWXXL
Samsung,"Samsung LC32F39MFUWXXL - 32 Inch Curved Monitor (1800R Curved, 4ms Response Time, FHD UHD VA Panel, HDMI, Speaker)",LC32F39MFUWXXL
Samsung,Samsung 49inch Curved Gaming Monitor LC49RG90SSWXXL,LC49RG90SSWXXL
Samsung,"Samsung LF22T350FHWXXL - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, HDMI)",LF22T350FHWXXL
Samsung,"Samsung LF24T352FHWXXL - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI)",LF24T352FHWXXL
Samsung,"Samsung LS22F350FHWXXL 22 Inch 99% sRGB Gaming Monitor (AMD FreeSync, 5ms Response Time, 60Hz Refresh Rate, FHD TN Panel, HDMI, D-Sub)",LS22F350FHWXXL
Samsung,"Samsung LS22R350FHWXXL - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-Sub)",LS22R350FHWXXL
Samsung,SAMSUNG LS24D300HS/XL 24 INCH LED GAMING MONITOR,LS24D300HS
Samsung,"Samsung LS24R350FHWXXL - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, HDMI, D-Sub)",LS24R350FHWXXL
Samsung,SAMSUNG 23.5 INCH LED WITH AH IPS GAMING MONITOR (LS27F350FHWXXL),LS27F350FHWXXL
